signal,entry_price,exit_price,entry_time,exit_time,trend,rsi,zone_transition,highest_price,lowest_price,mfe_pct,mae_pct,pnl_pct,duration_min
SELL_CONTINUATION,73529.7,73899.9,2026-06-01 01:40:01.772721,2026-06-01 02:35:01.194959,BEARISH,33.410726939347896,HIGH->LOW,73947.8,73529.7,0.0,-0.5686137710340254,-0.5034700263974926,54.990370633333335
BUY_CONTINUATION,73899.9,73555.2,2026-06-01 02:35:01.194959,2026-06-01 03:10:01.380367,BULLISH,55.960810236342596,LOW->HIGH,73929.5,73555.2,0.04005418139944144,-0.46644176785083213,-0.46644176785083213,35.00309013333333
SELL_CONTINUATION,73555.2,73751.6,2026-06-01 03:10:01.380367,2026-06-01 04:50:01.103684,BEARISH,38.106756948955734,HIGH->LOW,73751.6,73242.2,0.4255307578526059,-0.2670103541286119,-0.2670103541286119,99.99538861666666
BUY_CONTINUATION,73751.6,73563.8,2026-06-01 04:50:01.104811,2026-06-01 06:15:00.641431,BULLISH,59.80576016725391,LOW->HIGH,73939.1,73563.8,0.25423177259883173,-0.2546385434349938,-0.2546385434349938,84.992277
SELL_CONTINUATION,73563.8,71545.4,2026-06-01 06:15:00.642446,2026-06-01 19:00:01.391425,BEARISH,39.7840773730674,HIGH->LOW,73563.8,70855.3,3.681838077967696,0.0,2.743740807299254,765.0124829833334
BUY_CONTINUATION,71545.4,71574.0,2026-06-01 19:00:01.392436,2026-06-01 20:40:01.495266,BULLISH,61.26499651969326,LOW->HIGH,71723.2,71382.8,0.2485135312682617,-0.2272682800012178,0.03997461751559964,100.00171383333333
BUY_CONTINUATION,71574.0,71428.3,2026-06-01 20:40:01.496649,2026-06-01 23:00:01.019572,BULLISH,53.6897641024501,LOW->HIGH,71627.9,71405.0,0.07530667560845304,-0.23611926118422893,-0.20356554055941697,139.9920487166667
SELL_CONTINUATION,71428.3,71349.9,2026-06-01 23:00:01.022078,2026-06-02 00:55:01.139180,BEARISH,40.30176830454602,HIGH->LOW,71428.3,70870.1,0.7814829696352806,0.0,0.10976041708959715,115.0019517
BUY_CONTINUATION,71349.9,71165.7,2026-06-02 00:55:01.139180,2026-06-02 02:25:01.251681,BULLISH,57.146132769709126,LOW->HIGH,71534.1,71165.7,0.25816434220652257,-0.2581643422065022,-0.2581643422065022,90.00187501666666
SELL_CONTINUATION,71165.7,70935.2,2026-06-02 02:25:01.251681,2026-06-02 03:35:00.812949,BEARISH,41.36171200665006,HIGH->LOW,71345.7,70935.2,0.32389198729163066,-0.2529308360628786,0.32389198729163066,69.99268780000001
SELL_CONTINUATION,70935.2,70972.4,2026-06-02 03:35:00.813944,2026-06-02 05:45:01.918702,BEARISH,32.82194043679978,HIGH->LOW,71001.2,70229.4,0.9949926129763543,-0.09304266429078933,-0.05244222896389534,130.01841263333333
BUY_CONTINUATION,70972.4,71021.9,2026-06-02 05:45:01.919698,2026-06-02 06:40:01.374742,BULLISH,55.39108004161784,LOW->HIGH,71021.9,70757.5,0.06974542216410888,-0.30279376208215336,0.06974542216410888,54.990917399999994
BUY_CONTINUATION,71021.9,70569.6,2026-06-02 06:40:01.374742,2026-06-02 07:05:01.235441,BULLISH,57.14515100114238,LOW->HIGH,71021.9,70569.6,0.0,-0.6368458179800714,-0.6368458179800714,24.99767831666667
